MonthlyIncome,Age,TotalEarnInCompany,Attrition
5993,41,503412.0,1
5993,37,503412.0,1
5993,41,503412.0,1
5993,37,503412.0,1
5993,37,503412.0,1
5993,37,503412.0,1
5993,41,503412.0,1
5993,41,503412.0,1
5993,41,503412.0,1
14756,41,1221796.7999999998,1
19566,41,7043760.0,1
5993,37,503412.0,1
5993,41,503412.0,1
5993,37,503412.0,1
2342,37,196728.0,1
5993,37,503412.0,1
5993,41,503412.0,1
5993,41,503412.0,1
5130,49,711018.0,0
5130,59,711018.0,0
5130,59,711018.0,0
5130,49,711018.0,0
5130,49,711018.0,0
5130,49,711018.0,0
5130,59,711018.0,0
5130,59,969570.0,0
5130,49,711018.0,0
6499,49,545916.0,0
4810,49,666666.0,0
5130,59,711018.0,0
5130,59,711018.0,0
5130,49,711018.0,0
5130,49,711018.0,0
5130,49,711018.0,0
5130,59,711018.0,0
5130,59,969570.0,0
2090,54,25080.0,0
2090,37,25080.0,1
2090,54,25080.0,0
2090,37,25080.0,1
2090,37,25080.0,1
2090,54,25080.0,0
2090,37,25080.0,1
9724,37,245044.80000000002,1
4523,37,436921.8,1
2090,54,25080.0,0
2090,37,25080.0,1
2090,54,25080.0,0
2090,37,25080.0,1
2090,37,25080.0,1
2090,54,25080.0,0
2909,33,314172.0,0
2909,30,314172.0,0
2909,33,314172.0,0
2909,30,314172.0,0
5993,41,503412.0,1
5993,37,503412.0,1
5993,41,503412.0,1
5993,37,503412.0,1
5993,37,503412.0,1
5993,37,503412.0,1
5993,41,503412.0,1
2909,30,314172.0,0
2909,30,314172.0,0
2909,33,314172.0,0
2909,33,314172.0,0
2909,33,314172.0,0
2194,33,110577.6,0
3202,33,230544.0,0
2909,30,314172.0,0
2909,33,314172.0,0
2909,30,314172.0,0
2909,30,314172.0,0
2909,30,314172.0,0
2909,33,314172.0,0
2909,33,314172.0,0
3468,27,131090.4,0
3468,31,131090.4,0
3468,27,131090.4,0
3468,31,131090.4,0
3468,27,131090.4,0
3468,27,131090.4,0
3468,31,131090.4,0
3468,31,131090.4,0
3468,27,131090.4,0
3388,27,85377.6,0
3468,58,1581408.0,0
2351,27,88867.8,0
3468,25,332928.0,0
3468,31,131090.4,0
3468,18,917632.8,1
3468,31,183110.40000000002,0
3468,27,131090.4,0
3468,31,131090.4,0
3468,27,131090.4,0
3468,27,131090.4,0
3468,31,131090.4,0
3468,31,131090.4,0
3068,32,294528.0,0
3068,34,294528.0,1
3068,32,294528.0,0
3068,34,294528.0,1
3068,32,294528.0,0
3068,32,294528.0,0
3068,34,294528.0,1
3068,34,294528.0,1
3068,32,294528.0,0
5473,32,328380.0,0
3068,44,154627.2,0
3068,28,220896.0,0
1702,32,42890.4,0
3068,24,270597.60000000003,1
3068,34,294528.0,1
3068,36,445473.60000000003,0
3068,39,270597.60000000003,1
3068,32,294528.0,0
3068,34,294528.0,1
3068,32,294528.0,0
3068,34,294528.0,1
3068,34,294528.0,1
2670,59,73692.0,0
2670,41,73692.0,0
2670,59,73692.0,0
2670,41,73692.0,0
2670,41,73692.0,0
2670,41,73692.0,0
2670,59,73692.0,0
6132,59,73584.0,0
2670,59,73692.0,0
2703,59,204346.80000000002,0
2670,37,128160.0,1
2670,49,128160.0,0
18041,59,4546332.0,0
2670,30,67284.0,1
2670,41,73692.0,0
2670,41,269136.0,0
2670,31,201852.0,1
2670,59,73692.0,0
2670,41,73692.0,0
2670,41,73692.0,0
2670,41,73692.0,0
2670,59,73692.0,0
2693,30,67863.6,0
2693,41,67863.6,0
2693,41,67863.6,0
2693,30,67863.6,0
2693,30,67863.6,0
2693,30,67863.6,0
2693,41,67863.6,0
2693,41,67863.6,0
2693,30,67863.6,0
2501,30,60024.0,0
2693,32,64632.0,0
2693,36,290844.0,0
2886,30,152380.80000000002,0
2693,34,237522.6,0
2693,41,67863.6,0
2693,36,610772.4,0
2693,31,32316.0,1
2693,41,67863.6,0
2693,30,67863.6,0
2693,30,67863.6,0
2693,30,67863.6,0
2693,41,67863.6,0
2693,41,67863.6,0
9526,38,1143120.0,0
9526,39,1143120.0,0
9526,39,1143120.0,0
9526,38,1143120.0,0
9526,38,1143120.0,0
9526,38,1143120.0,0
9526,39,1143120.0,0
9526,39,1143120.0,0
9526,38,1143120.0,0
6220,38,903144.0000000001,0
9526,20,228624.0,1
9526,31,360082.8,0
2097,38,158533.2,0
9526,31,457248.0,1
9526,39,1143120.0,0
9526,32,1143120.0,0
9526,44,240055.2,0
9526,39,1143120.0,0
9526,38,1143120.0,0
3886,38,466320.0,0
9526,38,1143120.0,0
9526,39,1143120.0,0
9526,39,1143120.0,0
9526,39,228624.0,1
9526,40,240055.2,0
9526,41,228624.0,0
9526,44,1257432.0,0
9526,45,1920441.6,0
9526,45,377229.60000000003,0
9526,47,2760634.8,0
5237,36,553027.2000000001,0
5237,36,553027.2000000001,0
5237,36,553027.2000000001,0
5237,36,553027.2000000001,0
5237,36,553027.2000000001,0
5237,36,553027.2000000001,0
5237,36,553027.2000000001,0
5237,36,553027.2000000001,0
5237,36,553027.2000000001,0
3038,36,72912.0,0
5237,34,1068348.0,0
5237,26,565596.0,1
11935,36,1575420.0,0
5237,35,251376.0,0
5237,36,553027.2000000001,0
5237,38,725848.2000000001,0
5237,44,565596.0,0
